# OLD_NAME, NEW_NAME
A. El Moudni,Abdellah El Moudni
A. EL Moudni,Abdellah El Moudni
Beth Sunheim,Beth Sundheim
George y. Liu,George Y. Liu
Walter L. Thumfart,Walter F. Thumfart
Fumikazu Matukawa,Fumikazu Matsukawa
M. Lenar,Mateusz Lenar
C. Gunn,Chris Gunn
Johathan C. Martin,Jonathan C. Martin
T. Masada,Tomonari Masada
Thomas M. Schüneman,Thomas M. Schünemann
H. Sugawara,Hideaki Sugawara
Ingunn Myrtveil,Ingunn Myrtveit
D. R. Stevenson,Duncan Stevenson
J. Vida,Janos Vida
Jan Øyvind-Aagedal,Jan Øyvind Aagedal
Adnan EI-Nasan,Adnan El-Nasan
José M. Castano,José M. Castaño
Harry A. G. Wijshof,Harry A. G. Wijshoff
B. Ferguson,Brent Ferguson
T. Laopoulo,T. Laopoulos
Edmund F. Lopresti,Edmund F. LoPresti
Faouzi Boufarés,Faouzi Boufarès
Ravi Iyer,Ravi R. Iyer
Gerrard Murray,Gerard Murray
J. G. M. Keurten,J. G. M. Kuerten
X. S. Zhou,Xiang Sean Zhou
Noel de Palma,Noel De Palma
Leendert Huisman,Leendert M. Huisman
V. S. Iyegar,Vijay S. Iyengar
T. G. Berry,Thomas G. Berry
Shashank Mehta,Shashank K. Mehta
George Riley,George F. Riley
Tomas Kovac,Tomas Kovacs
Scott Brandt,Scott A. Brandt
Alessandro Chiampichetti,Alessandro Ciampichetti
Matthew Hutchins,Matthew A. Hutchins
F. Parrain,Fabien Parrain
Harald P. Fritzer,Harald Paulson Fritzer
Ray Larson,Ray R. Larson
Stephen Grant,Stephen Grand
Tamas Varady,Tamás Várady
Y. Kyoda,Yoshiaki Kyoda
V. Golovko,Vladimir Golovko
Neli D. Glossop,Neil D. Glossop
L. F. Pau,Louis-François Pau
P. Zeephongsekul,Panlop Zeephongsekul
L. N. Bhuyan,Laxmi N. Bhuyan
Laxmi Bhuyan,Laxmi N. Bhuyan
T. Fuchss,Thomas Fuchß
Yuri Savitsky,Yury Savitsky
S. Paul,Sandeep Paul
S. Paul,Sanjoy Paul
Tsutomu Enjoji,Tsutomu Enjouji
Antione Rollet,Antoine Rollet
Peter M. W. Knijenburg,Peter M. W. Knijnenburg
C. Chiesa,Carlo Chiesa
David A. Paisted,David A. Plaisted
Ian Roberston,Ian Robertson
Hans W. Mewes,Hans-Werner Mewes
Hong Qi H. V. Jagadish,Hong Qi
Mohammed Javeed Zaki ,Mohammed Javeed Zaki
Lorenz Huelsberben,Lorenz Huelsbergen
S. Mukherjee,Sayan Mukherjee
H. Diab,Hassan B. Diab
Camillo J. S. Oliveira,Camillo Jorge Santos Oliveira
David Woodruff,David P. Woodruff
Ryutaro Kakimura,Ryutaro Kakinuma
Tan Tin Wee,Tin Wee Tan
Elsa M. Macias,Elsa M. Macías
L. E. Hodge,Leigh E. Hodge
Wolfgang Oberlöer,Wolfgang Obelöer
Kyoung-Ok Kim,Kyung-Ok Kim
ève Coste-Manière,Ève Coste-Manière
Jesus Lázaro,Jesús Lázaro
Daniel R. Gomes,Daniel Ribeiro Gomes
A. Singru,Aditi Singru
Erik Boraelv,Erik Borälv
Jon Agre,Jonathan R. Agre
Joyce Chai,Joyce Y. Chai
Grzegorz Czajkowsk,Grzegorz Czajkowski
G. Masera,Guido Masera
Jennifer Chu,Jennifer Chu-Carroll
Chung-Horong Lung,Chung-Horng Lung
Edward Rietman,Edward A. Rietman
Scott Mahlke,Scott A. Mahlke
O. Temam,Olivier Temam
Yuiciro Anzai,Yuichiro Anzai
Diane Litman,Diane J. Litman
James B. Henderson,James Henderson
S. Mukherjee,Sarit Mukherjee
Weidung Wu,Weidong Wu
Carlos A. Severiano Jr.,Carlos Alberto Severiano Jr.
Tobias H. Höllere,Tobias Höllerer
Wolfgang Schröder-Preiksc,Wolfgang Schröder-Preikschat
Hannu Toivonen ,Hannu Toivonen
S. H. Seah,Seng Hong Seah
T. Finin,Timothy W. Finin
Jose María López,José María López
José Maria López,José María López
ChewLim Tan,Chew Lim Tan
Cheng Xiang Zhai,ChengXiang Zhai
Chengxiang Zhai,ChengXiang Zhai
S. Nakanishi,Shohachiro Nakanishi
Shouhachirou Nakanishi,Shohachiro Nakanishi
U. Haack,Ute Haack
G. Coscarella,Giorgio Coscarella
Masumi Suzuki,Masami Suzuki
Sachindra Josh,Sachindra Joshi
Eusebio de la Fuente,Eusebio Lopez de la Fuente
José P. Molina,José Pascual Molina
J. Drexl,Johann Drexl
William Yurick,William Yurcik
Emílio Insfrán Pelozo,Emilio Insfrán Pelozo
Scott MacDonald,Scott McDonald
Claude Chibelushi,Claude C. Chibelushi
Daniel P. Miranke,Daniel P. Miranker
O. Schorr,Oliver Schorr
Jan-Min Ho,Jan-Ming Ho
Reza A. Zoroofi,Reza Aghaeizadeh Zoroofi
O. Morikawa,Osamu Morikawa
P. Nijlunsing,R. Nijlunsing
G. Van der Perre,Georges Van der Perre
Akhulesh Kumar,Akhilesh Kumar
Kevin Gildea,Kevin J. Gildea
Ehiichi Kohda,Eiichi Kohda
R. Linder,Roland Linder
O. Honda,Osamu Honda
M. Tsukamoto,Masahiko Tsukamoto
David Y. Y. Yu,David Y. Y. Yun
J. Girao,Joao Girão
Masahiro Kabayashi,Masahiro Kobayashi
Alan W. Bierman,Alan W. Biermann
Felix M. Trespaderne,Félix Miguel Trespaderne
N. Roy,Nirmalya Roy
N. Duffy,Nigel Duffy
Gwénolé Corre,Gwenolé Corre
Ubirajara Moura Freitas,Ubirajara Moura de Freitas
M. Koyama,Mitsuhiro Koyama
H. Hartenstein,Hannes Hartenstein
R. C. Moore,Robert C. Moore
Rashmi Prassad,Rashmi Prasad
Hyunchul Kim,Hyun-chul Kim
R. Sader,Robert Sader
T. Kozuka,Takenori Kozuka
Francis A. Vaughn,Francis Vaughan
M. Carmen Juan-Lizandra,M. Carmen Juan Lizandra
M. Tsubamoto,Mitsuko Tsubamoto
A. H. Dachman,Abraham H. Dachman
Yuji Hatanake,Yuji Hatanaka
Chin L. Lu,Chin Lung Lu
H. Shirakawa,Hiroshi Shirakawa
P. Gros,Pascal Gros
S. Hamada,Seiki Hamada
A. M. Khan,Asif M. Khan
Reni Van Audekercke,Remi Van Audekercke
K. Horita,Katsuhei Horita
M. Shinohara,Masaaki Shinohara
S. Hassfeld,Stefan Haßfeld
T. Umeda,Tokuo Umeda
M. Treiber,Martina Treiber
Manuel Tarrio,Manuel Tarrío
J. Ikezoe,Junpei Ikezoe
He Huiguang,Huiguang He
Dirk Weshoff,Dirk Westhoff
J. M. Sotoca,José Martínez Sotoca
Jae Hyun Cho,Jae-Hyun Cho
P. Jannin,Pierre Jannin
Penyu Hong,Pengyu Hong
H. Harauchi,Hajime Harauchi
H. Abbasi,Hamid Abbasi
Kyoshi Mukai,Kiyoshi Mukai
P. W. M. Tsang,Peter W. M. Tsang
W. M. Tsang,Peter W. M. Tsang
David Cuesta,David Cuesta-Frau
D. Cuesta-Frau,David Cuesta-Frau
J. A. Lozano,José Antonio Lozano
José A. Lozano,José Antonio Lozano
Roberto Sacil,Roberto Sacile
Fierre Ferbach,Pierre Ferbach
R. George,Roy George
M. Nakayama,Minoru Nakayama
Jung Hoon Jung,Junghoon Jung
Jan Chrasttina,Jan Chrastina
Claudio Melchiori,Claudio Melchiorri
Charles Owen,Charles B. Owen
Daniel F. Garcia,Daniel F. García
Jose Demisio Simões da Silva,José Demisio Simões da Silva
Kuo-Sheng Chen,Chang Wen Chen
P. Fua,Pascal Fua
Sang Kyu Kang,SangKyu Kang
H. Najafi,Hesam Najafi
Fabio Bellifemmine,Fabio Bellifemine
P. Micó,Pau Micó
L. Biagiotti,Luigi Biagiotti
Luciano R. Veloso,Luciana R. Veloso
Pter Krupa,Petr Krupa
D. Novák,Daniel Novák
Eduard Nofrerías,Eduardo Nofrerías
Masahiro Tsukamoto,Masahiko Tsukamoto
G. Simon,Gábor Simon
Richard Dubes,Richard C. Dubes
Yu. E. Nesterov,Yurii Nesterov
G. Klinker,Gudrun Klinker
T. K. Das,Tanmoy K. Das
Singo Tomita,Shingo Tomita
Mitsuhito Hayashibe,Mitsuhiro Hayashibe
AND Agostino Poggi,Agostino Poggi
Manuel M. Olivera,Manuel M. Oliveira
J. A. Rodríquez,J. A. Rodríguez
Christopher R. Wren,Christopher Richard Wren
Clivev N. Galley,Clive N. Galley
Khalil Shihah,Khalil Shihab
D. L. Dietmeyer,Donald L. Dietmeyer
Donald Dietmeyer,Donald L. Dietmeyer
Chang W. Chen,Chang Wen Chen
Chag Wen Chen,Chang Wen Chen
N. D. Gorski,Nickolas D. Gorsky
N. D. Gorsky,Nickolas D. Gorsky
Kanonluk Vanapipat,Kanonkluk Vanapipat
M. Y. L. Ip,Maggie Y. L. Ip
JianZhong Qian,Jian Zhong Qian
Marcia Linn,Marcia C. Linn
Thomas K. W. Tsuo,Thomas K. W. Tsou
Gruegorz Mrugalski,Grzegorz Mrugalski
Franck Dorkeld,Frank Dorkeld
Wen-Hisng Hsu,Wen-Hsing Hsu
A. V. Zalesny,Alexey Zalesny
Gunnar Grosschmidt,Gunnar Grossschmidt
Erik Volkerink,Erik H. Volkerink
Nachiketh Potlapally,Nachiketh R. Potlapally
Vittorio Castello,Vittorio Castelli
D. V. Pigford,Darleen V. Pigford
Gunnar Farneäck,Gunnar Farnebäck
Sue Dumais,Susan T. Dumais
Hsuch-Ting Chu,Hsueh-Ting Chu
Kyu H. Park,Kyu Ho Park
A. R. Conn,Andrew R. Conn
Karlo Nèmeth,Karlo Németh
A. Bandopadhay,Amit Bandopadhay
Jerzy Bala,Jerzy W. Bala
J. Stan Warford,J. Stanley Warford
Marc R. C. Van Dongen,Marc R. C. van Dongen
Franjo Pernu,Franjo Pernus
Steffen Hsölldobler,Steffen Hölldobler
Joerg Stoecklein,Jörg Stöcklein
Lizy John,Lizy Kurian John
J. Novoviová,Jana Novovicová
J. L. Pérez de la Cruz,José-Luis Pérez-de-la-Cruz
José-Luís Pérez-de-la-Cruz,José-Luis Pérez-de-la-Cruz
Ivan Stomenovic,Ivan Stojmenovic
Ivan Stojmenovi,Ivan Stojmenovic
R. Mclvor,R. T. McIvor
R. McIvor,R. T. McIvor
Shimin Hu,Shi-Min Hu
Shi-min Hu,Shi-Min Hu
Rudy Leuwereins,Rudy Lauwereins
Hong-va Leong,Hong Va Leong
Gerd Zwillus,Gerd Szwillus
Eric Fabris,Eric E. Fabris
ShengRong Zou,Shengrong Zou
Yan Helleboid,Yann Helleboid
Paul Newman,Paul M. Newman
Mauricio A. de Almeida,Mauricio Amaral de Almeida
M. Bosse,Michael Bosse
Phillip Getto,Phillip H. Getto
C. Mingins,Christine Mingins
Arthur J. Broderson,Arthur J. Brodersen
Jeremy S. de Bonet,Jeremy S. De Bonet
Louis van Eckert,Louis van Ekert
L. Arantes,Luciana Bezerra Arantes
M. Üzümcü,Mehmet Üzümcü
María T. López,Maria T. López
B. G. Metrtzios,Basil G. Mertzios
Peter Manbrey,Peter Mambrey
Maria Isabel Sánchez-Segura,Maria Isabel Sánchez Segura
Pete J. Knoke,Peter J. Knoke
Mani B. Strivastava,Mani B. Srivastava
Paolo Predonzeni,Paolo Predonzani
T Burg,T. Burg
P. Parodi,Pietro Parodi
Flávio R. Wagner,Flávio Rech Wagner
P. Hors,Pascale Hors
Niclas Wahlloef,Niclas Wahllöf
Toshihro Kamiya,Toshihiro Kamiya
Yeongjoon Kim,Yeong-Joon Kim
Mike E. Woodward,Michael E. Woodward
Liam O' Brien,Liam O'Brien
P. Bakker,Peter Bakker
M. Ohmacht,Martin Ohmacht
Hamid Sarbazi-azad,Hamid Sarbazi-Azad
Aharon Shtul-Trauring,Aharon Shtull-Trauring
Klaus-D. Graf,Klaus-Dieter Graf
Junhai Yong,Jun-Hai Yong
Chuleui Hong,Chul-Eui Hong
Kshitji Shah,Kshitij Shah
Vijay Pitchulmani,Vijay Pitchumani
M. Aono,Masaki Aono
Rodney J. Doulgas,Rodney J. Douglas
Hung-tat Tsui,Hung-Tat Tsui
Lionel Ni,Lionel M. Ni
omenico Tegolo,Domenico Tegolo
J. V. Miller,James V. Miller
C. De Rose,César A. F. De Rose
Dave Wyatt,David Wyatt
I. M. Mkwawa,Is-Haka Mkwawa
Devasish Worah,Devashish Worah
He'le`ne N. Lim Choi Keung,Helene N. Lim Choi Keung
Fred Reiss,Frederick Reiss
Maria A. Nieto-Santisteban,María A. Nieto-Santisteban
Abhijit Pandya,Abhijit S. Pandya
P. Nagvajara,Prawat Nagvajara
Vicente Herández,Vicente Hernández
Timothhy S. Souder,Timothy S. Souder
Alea Leonardis,Ales Leonardis
Ashrak M. Salem,Ashraf M. Salem
Juliana F. Camapum,Juliana Fernandes Camapum
Juliana F. Camapum Wanderly,Juliana Fernandes Camapum
Alexander Voss,Alexander Voß
Alex Voß,Alexander Voß
Ana-María Moreno,Ana María Moreno
Srdjan Çapkun,Srdjan Capkun
Dongkyoo Sin,Dongkyoo Shin
Wolfgang Graether,Wolfgang Gräther
Marcelo Carvalho,Marcelo M. Carvalho
Byung Jae Choi,Byung-Jae Choi
Wiezhong Dai,Weizhong Dai
Tatuo Arai,Tatsuo Arai
Seog Hwan Yoo,Seog-Hwan Yoo
Calebe de Paula Bianchini,Calebe De Paula Bianchini
E. López,Elena López
German Goldszmidt,Germán S. Goldszmidt
Airam J. Preto,Airam Jonatas Preto
Dave Stuve,David Stuve
Pedro L. Luque-Escamilla,Pedro Luis Luque-Escamilla
Vanessa Daza,Vanesa Daza
Jorge Bedenas,Jorge Badenas
Helio Marci de Oliveira,Hélio Marci de Oliveira
Shen-Wen Shih,Sheng-Wen Shih
Maximilion Jahn,Maximillian Jahn
A. Bijaoui,Albert Bijaoui
H. A. Cohen,Harvey A. Cohen
Snag H. Son,Sang H. Son
Michael M. Ng,Michael K. Ng
Y. N. Skrikant,Y. N. Srikant
H. A. Kierstead,Hal A. Kierstead
Michael Kazhdan,Michael M. Kazhdan
John Platt,John C. Platt
S. Shlien,Seymour Shlien
Martin Rinard,Martin C. Rinard
Ken Swift,Ken G. Swift
Simon J Cox,Simon J. Cox
Luis M. Bergasa,Luis Miguel Bergasa
Dawai Song,Dawei Song
Niko Faerber,Niko Färber
DanielP. Spooner,Daniel P. Spooner
Mathias Wagner,Matthias Wagner
F. Losavio,Francisca Losavio
E. R. L. Aldred,Robert E. L. Aldred
S. Hoory,Shlomo Hoory
Sivakumar Velusam,Sivakumar Velusamy
Edmond H. Wu,Edmond HaoCun Wu
Marcelo Tîlio Monteiro de Carvalho,Marcelo Tílio Monteiro de Carvalho
Cem Ünslan,Cem Ünsalan
Yiqui Han,Yiqiu Han
Chang Wu Yu,Chang-Wu Yu
João M. de Carvalho,João Marques de Carvalho
R. Oliveira,Rui Carlos Oliveira
Rui Oliveira,Rui Carlos Oliveira
M. Choon Chan,Mun Choon Chan
Mun Coon Chan,Mun Choon Chan
Ioana M. Boier Martin,Ioana M. Boier-Martin
Ioanna M. Boier Maitin,Ioana M. Boier-Martin
T. De Martino,Teresa De Martino
Islene Garcia,Islene C. Garcia
T. Weyrich,Tim Weyrich
José P. Suarez,José P. Suárez
H. Mizoguchi,Hiroshi Mizoguchi
L. Romano,Luigi Romano
T. J. Baker,Timothy J. Baker
Geoff Dromey,R. Geoff Dromey
K. Hidai,Ken-ichi Hidai
G. Impoco,Gaetano Impoco
João Araújo Júnior,João Araújo
L. Laibinis,Linas Laibinis
J. O. Pereira,José Orlando Pereira
R. E. Seviora,Rudolph E. Seviora
F. Giannini,Franca Giannini
Jonathan Moffett,Jonathan D. Moffett
N. Suri,Neeraj Suri
ZhiChang Qi,Zhi-Chang Qi
Zhichang Qi,Zhi-Chang Qi
Alonso Garcia,Alejandro M. García-Alonso
Abdrés M. Garcia-Alonso,Alejandro M. García-Alonso
R. Bodenheimer,Bobby Bodenheimer
B. Bodenheimer,Bobby Bodenheimer
Scott Banachowski,Scott A. Banachowski
Scott A Banachowski,Scott A. Banachowski
Chiang-Choon Danny Poo,Danny Chiang Choon Poo
Danny Poo,Danny Chiang Choon Poo
Monique M. S. Silvia,Monique M. S. Silva
F. Montheille,F. Montheillet
Udo Pooch,Udo W. Pooch
E. Ha,Eunyong Ha
Katsuro Inouet,Katsuro Inoue
Xinjun Mao,XinJun Mao
Joseph Ng,Joseph Kee-Yin Ng
A. Nanopoulos,Alexandros Nanopoulos
Martin Jägersan,Martin Jägersand
Simo Vekkolainen,Simo Veikkolainen
Y. Im,Yongjun Im
Mohammed L. El-Sayed,Mohamed L. El-Sayed
T. J. N. Browna,T. J. N. Brown
Chun-Wwei Huang,Chun-Wei Huang
R. Wheele,Richard Wheeler
Y. Choi,Yoonki Choi
T. Christofides,T. C. Christofides
William Cheng-Chung,William Cheng-Chung Chu
Haichen Chen,Haichen Cheng
Micchael Pidcock,Michael Pidcock
Hossam Hassanein,Hossam S. Hassanein
E. Christopoulou,Eleni Christopoulou
Olivier Mellina-Gotardo,Olivier Mellina-Gottardo
Mario Bruckwschwaiger,Mario Bruckschwaiger
Simeon Bozapalidis,Symeon Bozapalidis
Robert Bialek,Robert Pawel Bialek
Y. Choi,Yanghee Choi
André Godinass,André Godinas
Massod Masoodian,Masood Masoodian
Jekanthan Thangavelauthma,Jekanthan Thangavelautham
Maria Zapolotskys,Maria Zapolotsky
Roderkick M. Rejesus,Roderick M. Rejesus
Y. Choi,Young Hee Choi
Juan Manuel Gonzáles Nieto,Juan Manuel González Nieto
González Nieto,Juan Manuel González Nieto
Antônio De Oliveira,Antonio A. F. Oliveira
Antonio A. F. de Oliveira,Antonio A. F. Oliveira
Ricardo S. Torres,Ricardo da Silva Torres
Ricardo da S. Torres,Ricardo da Silva Torres
Ganpathy S. Sundaram,Ganapathy S. Sundaram
G. Burns,Glenn Bruns
M. H. Klin,Mikhail H. Klin
M. M. Wood,Mary McGee Wood
R. Brown,Randy Brown
Kasim Selcuk Candan,K. Selçuk Candan
Frederic Vexo,Frédéric Vexo
Fréderic Chazal,Frédéric Chazal
Huai-min Wang,Huaimin Wang
B. Pham,Billy Pham
Gilad Halevi,Gilad Halevy
Chi-Sing Laih,Chi-Sung Laih
Seong-Woo Kwak,Seong Woo Kwak
R. Brown,Robert G. Brown
Chokchai Leangsukun,Chokchai Leangsuksun
Selywn Russell,Selwyn Russell
Mats Osterberg,Mats Österberg
S. H. Son,Sang H. Son
Ricardo Farias,Ricardo C. Farias
Puion Au,Pui-on Au
Min-Goo Kang,Min-goo Kang
Changeun Kang,Changeon Kang
Po-Ching Lu,Po-Chiang Lu
M. Isabel Acevedo-Sotoca,M. Isabel Acevedo Sotoca
Mingliu Li,Minglu Li
B. Pham,Binh Pham
Luciano F. Costa,Luciano da Fontoura Costa
Tito Homem-De-Mello,Tito Homem-de-Mello
Mira Balabam,Mira Balaban
Guangzhao Zhang,GuangZhao Zhang
Bonnie Nardi,Bonnie A. Nardi
Jon Kleinberg,Jon M. Kleinberg
I. King,Irwin King
Sungyoug Lee,Sungyoung Lee
Luís Fernando Sayao,Luís Fernando Sayão
Xueling Li,Xueliang Li
Livia C. F. Araújo,Lívia C. F. Araújo
W. E. Proebster,Walter E. Proebster
Michael Hohsler,Michael Hahsler
Tom Holvoet CSAA,Tom Holvoet
Maylor K. Leung,Maylor K. H. Leung
Gerard Berry,Gérard Berry
Celia A. Zorzo Barcelos,Célia A. Zorzo Barcelos
R. C. S. Costa,Rodrigo C. S. Costa
Thomas Hain,Thomas F. Hain
David Langan,David D. Langan
Cinthia Obladen De A. Freitas,Cinthia Obladen de Almendra Freitas
Esdras Medeiros,Esdras Soares de Medeiros Filho
Pascale Manoury,Pascal Manoury
Michael Ackerman,Michael J. Ackerman
G. Rudy,George B. Rudy
George Rudy,George B. Rudy
Dmitri Fon-Der-Flaass,Dmitry Fon-Der-Flaass
Dimitri Fon-Der-Flaass,Dmitry Fon-Der-Flaass
Barbara P. Butterfield,Barbara P. Buttenfield
Barbara Buttenfield,Barbara P. Buttenfield
Chi-Cheng Chu,Chi-Cheng Peter Chu
Chi-Cheng P. Chu,Chi-Cheng Peter Chu
Sebastien Gerard,Sébastien Gérard
S. Gérard,Sébastien Gérard
J. Aranda,Joaquin Aranda
Joan Aranda,Joaquin Aranda
Z. Komiya,Zentaro Komiya
Mustafa Ghanem,Moustafa Ghanem
Deborah McAllister,Deborah A. McAllister
Christophe Mazene,Christophe Mazenc
O. Nabuco,Olga Nabuco
AlexanderIliev,Alexander Iliev
Junior Barbera,Junior Barrera
Jamez Brest,Janez Brest
Jeffrey L. Solla,Jeffrey L. Solka
C. S. Cooper,Christopher S. Cooper
Daeki Hong,Dae-Ki Hong
B. Benjauthrit,Boonsieng Benjauthrit
Weitsang Ooi,Wei Tsang Ooi
D. H. Lentz,David H. Lentz
Ventsislav Nikov,Ventzislav Nikov
C. Cattani,Carlo Cattani
M. Carvalho,Márcio de Carvalho
R. M. Chen,Rong-Ming Chen
F. M. Liu,Falcon F. M. Liu
Paul St Denis,Paul St. Denis
Serguei Vassilvitskii,Sergei Vassilvitskii
L. Jenny Li,J. Jenny Li
Jean Pierre Doucet,Jean-Pierre Doucet
N. S. Juty,Nick S. Juty
T. Terrier,François Terrier
Markus Grappmaier,Markus Gappmaier
J. Hammer,Jürgen Hammer
L. B. Damnjanovic,Ljiljana B. Damnjanovic
Ljuben Mutafchiev,Ljuben R. Mutafchiev
I. Ho,Ivan Ho
Lee Pike II,Lee Pike
M. J. Milroy,Michael J. Milroy
Hannes Werther,Hannes Werthner
Y. Ren,Yuhe Ren
Kwang Ya Fang,Kwang-Ya Fang
Florian Dittman,Florian Dittmann
A. E. W. Mason,Ashton E. W. Mason
Malay K. Pakhira,Malay Kumar Pakhira
C. Fraley,Chris Fraley
L. Yan,Lisa Yan
Nenad Mladenovi,Nenad Mladenovic
S. De Vuyst,Stijn De Vuyst
Ratnaker Sonthi,Ratnakar Sonthi
K. Yana,Kazuo Yana
M. Mendell,Mark P. Mendell
Mark Mendell,Mark P. Mendell
Jos T. J. van Eijidhoven,Jos T. J. van Eijndhoven
Jos T. J. van Eindhoven,Jos T. J. van Eijndhoven
W. B. Jone,Wen-Ben Jone
Wen-Bone Jone,Wen-Ben Jone
V. A. Ustimenko,Vasiliy A. Ustimenko
I. Fernández,Ignacio Fernández
Xianiong Hong,Xianlong Hong
Dan Connors,Daniel A. Connors
A. J. van De Goor,A. J. van de Goor
Francky Catthoort,Francky Catthoor
Edwin Hsing-MeanSha,Edwin Hsing-Mean Sha
Peter Mattson,Peter R. Mattson
Primal Buch,Premal Buch
Blanca Rodriguez,Blanca Rodríguez
S. A. Selouani,Sid-Ahmed Selouani
Airi Saliminen,Airi Salminen
B. A. Schupp,Bastiaan A. Schupp
Paul Bailey,Paul J. Bailey
Paul MacDonald,Paul N. MacDonald
N. Bagherzadeh,Nader Bagherzadeh
Gaetano Borriella,Gaetano Borriello
Stoney Simons Jr.,S. Stoney Simons Jr.
Ahmed Amine Jarraya,Ahmed Amine Jerraya
Petru Els,Petru Eles
Thorsten Fink,Torsten Fink
Leornard J. Schulman,Leonard J. Schulman
Franc Breglez,Franc Brglez
Marcus Groesser,Marcus Größer
Michael S. Nakhla,Michel S. Nakhla
Th. Hiniotakis,Th. Haniotakis
A. Sabharwal,Ashutosh Sabharwal
María Ángeles Perez,María Ángeles Pérez
Raul Cordovi,Raul Cordovil
D. E. Cooke,Daniel E. Cooke
Dan Cooke,Daniel E. Cooke
Víctor Guevara Masís,Víctor Guevara-Masís
Víctor Guevara-Masis,Víctor Guevara-Masís
V. Stich,Volker Stich
Voker Stich,Volker Stich
J. Cohen,Joëlle Cohen
J. Cohen,Jacques Cohen
J. Gerdes,John Gerdes Jr.
Chris Dutchyn,Christopher Dutchyn
Liviu P. Dinu,Liviu Petrisor Dinu
Milena Head,Milena M. Head
Reinaneh Safavi-Naini,Reihaneh Safavi-Naini
Ciro A. Rodriguez,Ciro A. Rodríguez
Virgilio A. F. Almeida,Virgílio A. F. Almeida
Vânia P. De Almeida,Vânia P. de Almeida
Jorge L. Villar,Jorge Luis Villar
J. Cohen,Jaime Cohen
A. Zwegers,Arian Zwegers
Zhong-e Ziao,Xiao Zhonge
Z. Xiao,Xiao Zhonge
Jwu-E. Che,Jwu E. Chen
Jwu E Chen,Jwu E. Chen
P. González,Patricia González
P. Gonzalez,Patricia González
Patricia Gonzalez,Patricia González
I. Lambadaris,Ioannis Lambadaris
Young Jun Son,Young-Jun Son
M. Cross,Mark Cross
J. O. Miller,John O. Miller
llia Polian,Ilia Polian
Peter Glynn,Peter W. Glynn
M. Wand,Mitchell Wand
Russell Barton,Russell R. Barton
Mtsuo Kawato,Mitsuo Kawato
Dean S. Hartley,Dean S. Hartley III
Nedjelko Peric,Nedjeljko Peric
Alan Chalmars,Alan Chalmers
P. Weiß,Peter Weiß
José María Gómez-Hidalgo,José María Gómez Hidalgo
Massao Yanagisawa,Masao Yanagisawa
K. Ronald Laughery,K. Ronald Laughery Jr.
Daniel Schunk,Daniel W. Schunk
Jos Van der Sloten,Jos Vander Sloten
Serge Vernaldeg,Serge Vernalde
Wei Bao Wu,Wei Biao Wu
Hassan Chara,Hassan Charaf
Lambros Sarkis,Lambros Sarakis
Michell Renovell,Michel Renovell
T. Cardoso,Tiago Cardoso
Biplad K. Sikdar,Biplab K. Sikdar
Peter Fleming,Peter J. Fleming
William S. Murphy,William S. Murphy Jr.
T. Hamilton,Terrance Hamilton
Mordecai J. Goli,Mordecai J. Golin
Bernahrd Zeller,Bernhard Zeller
Lee A. Belfore,Lee A. Belfore II
Michael Szymaniak,Michal Szymaniak
Paul T. Gonciari,Paul Theo Gonciari
J Eliot B. Moss,J. Eliot B. Moss
M. Fernandez,M. Férnandez
Manuel J. Maña-López,Manuel J. Maña López
Marcus Grö?er,Marcus Größer
Shinya Kobayashi,Shin-ya Kobayashi
Santucci Jean-François,Jean François Santucci
Jorge Luiz Nicolas Audy,Jorge Luis Nicolas Audy
Ken Brodie,Ken Brodlie
Ulrich Bücker,Ulrich Büker
Lee Loo Hay,Loo Hay Lee
M. Glover,Mark A. Glover
M. Sanchez-Elez,Marcos Sanchez-Elez
Marvin Nakayama,Marvin K. Nakayama
Zdenek Kratochvil,Zdenek Kratochvíl
Vincent Cholvi,Vicent Cholvi
J. C. de Pina,José Coelho de Pina
José C. de Pina,José Coelho de Pina
N. Natchev,Natcho H. Natchev
N. H. Natchev,Natcho H. Natchev
Sang Jo Lee,Sang-Jo Lee
Sang Jo-Lee,Sang-Jo Lee
Manuel ALberto Pérez-Coutiño,Manuel Alberto Pérez-Coutiño
A. M. Cheadle,Andrew M. Cheadle
Con S. Ierotheou,Cos S. Ierotheou
H. Hajiabolhassan,Hossein Hajiabolhassan
Yu. V. Vassilevski,Yuri V. Vassilevski
Loïc Hélouet,Loïc Hélouët
Phillippe Kruchten,Philippe Kruchten
G. Weerasinghe,Gehan Weerasinghe
P. Thiran,Patrick Thiran
Kimberly C. claffy,Kimberly C. Claffy
Chen-nee Chuah,Chen-Nee Chuah
Edouard Letelier,Edouard Lethelier
Yanchu Jin,Yaochu Jin
C. Tomei,Carlos Tomei
C. Rehn,Christian Rehn
Michael Soellner,Michael Söllner
M. Pourzandi,Makan Pourzandi
Tomas E. Anderson,Thomas E. Anderson
Philippe P. Pebay,Philippe P. Pébay
Robert Ambrose,Robert O. Ambrose
Marc de Jonge,Marc R. de Jonge
N. C. Saldanha,Nicolau C. Saldanha
J. Soares,José Soares
L. Demkowicz,Leszek F. Demkowicz
Jose Orlando Pereira,José Orlando Pereira
Jean Christophe Bouramoué,Jean-Christophe Bouramoué
Y. Raghu Reddy,Raghu Reddy
Christos Alexopoulas,Christos Alexopoulos
