# OLD_NAME, NEW_NAME
P. D. Laird,Philip D. Laird
Preeti Ranjab Panda,Preeti Ranjan Panda
I. Karkowski,Ireneusz Karkowski
Aykut Dengi,E. Aykut Dengi
Wayne W. M. Dai,Wayne Wei-Ming Dai
Margaret Mortonosi,Margaret Martonosi
Magdy Abadir,Magdy S. Abadir
G. Musgrave,Gerry Musgrave
R. H. J. M. Otten,Ralph H. J. M. Otten
R. C. Melville,Robert C. Melville
Gionvanni De Micheli,Giovanni De Micheli
D. Baker,Donald G. Baker
V. Kourmajian,Vram Kouramajian
Ramarathnan Venkatesan,Ramarathnam Venkatesan
Theor Härder,Theo Härder
Réme Bastide,Rémi Bastide
Clarence Ellis,Clarence A. Ellis
Z. Tamizudding,Z. Tamizuddin
Simone Lavington,Simon H. Lavington
Simon Lavington,Simon H. Lavington
Alan Efrat,Alon Efrat
S. Venkatasubramanian,Suresh Venkatasubramanian
Bharat Bhargava,Bharat K. Bhargava
Mariagrazi Fugini,Mariagrazia Fugini
Matthew Franklin,Matthew K. Franklin
Y. Matsushita,Yutaka Matsushita
Daniel Liang,Y. Daniel Liang
K. Kukich,Karen Kukich
G. Florin,Gerard Florin
Bryant York,Bryant W. York
Alxander Repenning,Alexander Repenning
S. M. Bellovin,Steven M. Bellovin
Timothhy Koschmann,Timothy Koschmann
T. P. Moran,Thomas P. Moran
Will Hill,William C. Hill
Jügen Wolff von Gudenberg,Jürgen Wolff von Gudenberg
Antholy Jameson,Anthony Jameson
Michael Pazzani,Michael J. Pazzani
D. Cantone,Domenico Cantone
M. D. Mulvenna,Maurice D. Mulvenna
Use Waldmann,Uwe Waldmann
Rakesk M. Verma,Rakesh M. Verma
Y. Amghar,Youssef Amghar
C. Carson,Chad Carson
Thomas Käfl,Thomas Käufl
Stéphane Fève,Stéphane Fèvre
Felope Cariño,Felipe Cariño
Ferruccio Damiani, Frédéric Prost,Ferruccio Damiani
Sartaj K. Sahni,Sartaj Sahni
Amparo Vila,Maria-Amparo Vila
Miroslaw Truszczynsk,Miroslaw Truszczynski
Ming Lin,Ming C. Lin
M. Lin,Ming C. Lin
Nicolas C. Gloy,Nicholas C. Gloy
Uday S. Redd,Uday S. Reddy
Jean-Luc Rémy,Jean-Luc Remy
Hui-I Hsio,Hui-I Hsiao
Anatol Degtyarev,Anatoli Degtyarev
Richard Fujimota,Richard Fujimoto
Sergei Artëmov,Sergei N. Artëmov
T. Jensen,Thomas P. Jensen
Raymond Ng,Raymond T. Ng
Lilly Hendra,Lily Hendra
Corinne Jorgensen,Corinne L. Jörgensen
